"RuleId","Severity","Title","Mitre","Why","Artifact","Module"
"DGL-072","HIGH","Scheduled task executes an unsigned binary","T1053.005","A task launching an unsigned binary is a common persistence method","06_scheduled_tasks","Zamanlanmis Gorevler"
"DGL-073","HIGH","Non-Microsoft task running as SYSTEM","T1053.005","A third-party task running as SYSTEM provides privilege escalation and persistence","06_scheduled_tasks","Zamanlanmis Gorevler"
"DGL-074","(tablo)","Suspicious pattern in task command","(tablo)","Attacker behaviour pattern matched in the task command line","06_scheduled_tasks","Zamanlanmis Gorevler"
"DGL-075","HIGH","New task created within the analysis window","T1053.005","A non-Microsoft task created within the analysis window may be attacker persistence","06_task_files","Zamanlanmis Gorevler"
"DGL-080","CRITICAL","Winlogon value modified","T1547.004","Value differs from the expected default","07_autoruns","Autoruns / ASEP"
"DGL-081","CRITICAL","AppInit_DLLs is set","T1546.010","AppInit_DLLs injects a DLL into every process that loads user32.dll","07_autoruns","Autoruns / ASEP"
"DGL-082","(tablo)","IFEO Debugger is set","T1546.012","The debugger runs instead of the target binary when launched (accessibility backdoor)","07_autoruns","Autoruns / ASEP"
"DGL-083","CRITICAL","SilentProcessExit MonitorProcess is set","T1546.012","The specified binary runs when the target process exits","07_autoruns","Autoruns / ASEP"
"DGL-084","CRITICAL","Unknown entry in the LSA package list","T1547.002","A custom DLL loaded into LSA can steal credentials","07_autoruns","Autoruns / ASEP"
"DGL-085","CRITICAL","AppCertDlls entry present","T1546.009","This key is empty by default; a DLL is loaded on every CreateProcess call","07_autoruns","Autoruns / ASEP"
"DGL-086","HIGH","Non-standard Time Provider DLL","T1547.003","Time Provider registrations are loaded by w32time as SYSTEM; a non-default DLL is persistence","07_autoruns","Autoruns / ASEP"
"DGL-087","CRITICAL","UserInitMprLogonScript is set","T1037.001","This value does not exist by default and runs at every logon","07_autoruns","Autoruns / ASEP"
"DGL-088","HIGH","BITS transfer job present","T1197","BITS is used for both download and persistence","07_bits_jobs","Autoruns / ASEP"
"DGL-089","HIGH","Winlogon value defined","T1547.004","This value is not present by default","07_autoruns","Autoruns / ASEP"
"DGL-090","CRITICAL","Persistent WMI event subscription present","T1546.003","Filter-to-consumer binding is the most common form of fileless persistence","08_wmi_persistence","WMI Kaliciligi"
"DGL-091","CRITICAL","Suspicious command in WMI consumer","(tablo)","The WMI consumer command runs as SYSTEM when triggered","08_wmi_persistence","WMI Kaliciligi"
"DGL-100","HIGH","Known C2 named pipe pattern matched","T1071","Cobalt Strike and similar C2 frameworks use characteristic pipe names","09_named_pipes","Named Pipes"
"DGL-110","CRITICAL","Defender protection component disabled","T1685","Disabling AV protection is usually an attacker first step","12_defender_status","Guvenlik Durumu"
"DGL-111","MEDIUM","Defender signatures are out of date","T1685","An outdated signature database misses new threats; updates may have been blocked","12_defender_status","Guvenlik Durumu"
"DGL-112","(tablo)","Defender exclusion configured","T1685","Attackers add their payload directory to the exclusion list","12_defender_exclusions","Guvenlik Durumu"
"DGL-113","(tablo)","Defender threat detection","","An unremediated detection indicates active infection; even a remediated one shows the entry vector","12_defender_threats","Guvenlik Durumu"
"DGL-114","(tablo)","Defender remediation action","(tablo)","Records what was acted upon and when","12_security_config","Guvenlik Durumu"
"DGL-115","HIGH","No registered AMSI provider found","T1685","The AMSI provider registration may have been removed - script scanning is disabled","12_security_config","Guvenlik Durumu"
"DGL-116","MEDIUM","Critical audit category disabled","T1562.002","While this category is off, the related events are never generated","12_audit_policy","Guvenlik Durumu"
"DGL-117","MEDIUM","No shadow copies found","T1490","Servers usually retain shadow copies; they may have been deleted","12_shadow_copies","Guvenlik Durumu"
"DGL-120","HIGH","Share grants full control to Everyone","T1135","Unauthenticated write access eases lateral movement and data exfiltration","10_smb_shares","SMB / Paylasimlar"
"DGL-121","HIGH","Drive root has been shared","T1135","Beyond the default administrative shares, sharing a drive root is rarely legitimate","10_smb_shares","SMB / Paylasimlar"
"DGL-130","CRITICAL","Driver loaded from a suspicious directory","T1068","In BYOVD attacks the driver is loaded from a temp directory","09_drivers","Suruculer"
"DGL-131","HIGH","Unsigned driver running","T1068","Unsigned code running in kernel mode indicates a rootkit or BYOVD","09_drivers","Suruculer"
"DGL-132","HIGH","Driver written within the analysis window","T1068","A driver written to disk within the analysis window may be a BYOVD attack","09_drivers","Suruculer"
"DGL-140","MEDIUM","No process creation audit (4688) records","T1562.002","With this audit disabled, historical execution activity is invisible","11_evt_4688","Event: Process Olusturma (4688)"
"DGL-141","MEDIUM","4688 events do not include command lines","T1562.002","ProcessCreationIncludeCmdLine_Enabled is off - hunting value is greatly reduced","11_evt_4688","Event: Process Olusturma (4688)"
"DGL-142","HIGH","Process previously executed from a suspicious directory","T1036","The process may no longer be running; the event record is the only evidence","11_evt_4688","Event: Process Olusturma (4688)"
"DGL-144","HIGH","Obfuscated command decoded","T1027","Encoding is not malicious by itself; the decoded content must be reviewed","11_evt_4688","Event: Process Olusturma (4688)"
"DGL-145","HIGH","Suspicious pattern in decoded command","","Attacker behaviour pattern matched inside an obfuscated payload","","Merkezi (Invoke-DDeobfuscateAndScan)"
"DGL-146","(tablo)","Anomalous parent-child relationship [historical]","(tablo)","Suspicious parent-child process relationship in a historical event record","11_evt_4688","Event: Process Olusturma (4688)"
"DGL-150","HIGH","PowerShell flagged a suspicious script block","T1059.001","Warning-level blocks are recorded even when script block logging is off","11_evt_ps_4104","Event: PowerShell (4104/4103/400)"
"DGL-151","MEDIUM","Obfuscated command line","T1027.010","Multiple obfuscation indicators rarely co-occur in legitimate commands","","Merkezi (Invoke-DDeobfuscateAndScan)"
"DGL-152","MEDIUM","PowerShell Remoting session detected","T1021.006","Remote PowerShell access can indicate lateral movement","11_evt_ps_classic","Event: PowerShell (4104/4103/400)"
"DGL-160","HIGH","Logon Type 9 (NewCredentials/RunAs) detected","T1550.002","Type 9 is the typical trace of pass-the-hash and overpass-the-hash attacks","11_evt_4624_logon","Event: Logon Aktivitesi"
"DGL-161","MEDIUM","Logon Type 8 (NetworkCleartext)","T1078","The password may have traversed the network in cleartext","11_evt_4624_logon","Event: Logon Aktivitesi"
"DGL-162","HIGH","RDP session from outside the private network","T1021.001","Internet-exposed RDP is a common initial access vector","11_evt_4624_logon","Event: Logon Aktivitesi"
"DGL-163","HIGH","Possible brute force (4625 volume)","T1110","High volume of authentication failures from a single source","11_evt_4625_failed","Event: Logon Aktivitesi"
"DGL-164","CRITICAL","SUCCESSFUL logon after failed attempts","T1110","The account may have been compromised following brute force or spraying","11_evt_4624_logon","Event: Logon Aktivitesi"
"DGL-165","MEDIUM","Remote server accessed with explicit credentials","T1021","4648 is among the most reliable indicators of lateral movement","11_evt_4648_explicit","Event: Logon Aktivitesi"
"DGL-166","MEDIUM","Out-of-hours interactive session (00:00-05:00 UTC)","","Attacker activity is typically seen outside normal working hours","11_evt_4624_logon","Event: Logon Aktivitesi"
"DGL-170","(tablo)","Account management event","T1136.001","Account creation, deletion and password reset are the most common traces of attacker persistence","11_evt_account_mgmt","Event: Hesap / Politika Degisimleri"
"DGL-171","(tablo)","Member added to a privileged group","T1098","Group membership changes indicate privilege escalation and persistence","11_evt_group_mgmt","Event: Hesap / Politika Degisimleri"
"DGL-172","(tablo)","Audit log tampering","T1070.001","Anti-forensic activity - an indicator that the attack is active","11_evt_antiforensics","Event: Hesap / Politika Degisimleri"
"DGL-173","HIGH","Service installation record (4697)","T1543.003","Service installation is used for remote execution and persistence","11_evt_4697_service","Event: Hesap / Politika Degisimleri"
"DGL-175","HIGH","Scheduled task registration/update","T1053.005","Task creation and update records date the persistence setup","11_evt_task_mgmt","Event: Hesap / Politika Degisimleri"
"DGL-180","(tablo)","New service installed (7045)","T1543.003","PsExec, Impacket and the Cobalt Strike SMB beacon install as services","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-181","CRITICAL","Service with a randomised name installed","T1569.002","Random character strings are the typical signature of C2 framework defaults","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-183","CRITICAL","Security service start type changed","T1685","A defensive mechanism may have been disabled","11_evt_7040_starttype","Event: System (7045/7040/104)"
"DGL-184","CRITICAL","Security service terminated unexpectedly","T1685","A stopped security service is either an attack or telemetry loss; either way coverage narrows","11_evt_system","Event: System (7045/7040/104)"
"DGL-185","CRITICAL","Event log cleared (System 104)","T1070.001","Anti-forensic activity","11_evt_system","Event: System (7045/7040/104)"
"DGL-186","CRITICAL","New service masquerades as a system binary","T1036.005","The service binary name imitates a protected system binary","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-190","HIGH","RDP connection from outside the private network (1149)","T1021.001","Internet-exposed RDP is one of the most common initial access vectors","11_evt_rdp_inbound","Event: RDP / WinRM"
"DGL-191","HIGH","OUTBOUND RDP connection from this host","T1021.001","Outbound RDP indicates this host is a source of lateral movement","11_evt_rdp_outbound","Event: RDP / WinRM"
"DGL-192","MEDIUM","WinRM authentication","T1021.006","Remote management access can be used for lateral movement","11_evt_winrm","Event: RDP / WinRM"
"DGL-200","HIGH","Scheduled task lifecycle event","T1053.005","Task registration and execution events establish the persistence timeline","11_evt_taskscheduler","Event: Kalicilik ve Savunma Kanallari"
"DGL-201","CRITICAL","Persistent WMI event subscription record (5861)","T1546.003","5861 is direct evidence of WMI persistence","11_evt_wmi_activity","Event: Kalicilik ve Savunma Kanallari"
"DGL-202","(tablo)","Defender protection state change","T1685","Protection components are disabled immediately before payload execution","11_evt_defender","Event: Kalicilik ve Savunma Kanallari"
"DGL-203","MEDIUM","File transfer over BITS","T1197","BITS is a common download channel that evades AV/EDR attention","11_evt_bits","Event: Kalicilik ve Savunma Kanallari"
"DGL-204","HIGH","Code integrity violation (unsigned driver/image)","T1068","May be the trace of a BYOVD attack attempt","11_evt_codeintegrity","Event: Kalicilik ve Savunma Kanallari"
"DGL-205","(tablo)","Firewall rule change","T1686.003","Firewall rule changes open the way for inbound C2 and lateral movement","11_evt_firewall","Event: Kalicilik ve Savunma Kanallari"
"DGL-210","CRITICAL","Access to LSASS memory (credential dump)","T1003.001","This access mask is used to read LSASS memory","11_sysmon_10_lsass","Event: Sysmon"
"DGL-211","HIGH","CreateRemoteThread (process injection)","T1055","Process injection is used for detection evasion and execution inside a legitimate process","11_sysmon_08_injection","Event: Sysmon"
"DGL-212","HIGH","Named pipe created matching a C2 pattern","T1071","Cobalt Strike and similar frameworks communicate over default pipe names","11_sysmon_17_pipes","Event: Sysmon"
"DGL-213","CRITICAL","Process tampering (hollowing/herpaderping)","T1055.012","Hollowing and herpaderping decouple the on-disk file from the in-memory code","11_sysmon_25_tampering","Event: Sysmon"
"DGL-214","CRITICAL","Sysmon WMI event record (persistence)","T1546.003","WMI subscriptions provide persistence without leaving a file on disk","11_sysmon_19_wmi","Event: Sysmon"
"DGL-220","CRITICAL","Possible Kerberoasting (RC4 service ticket volume)","T1558.003","A single account requesting RC4 tickets for many services is the signature of a Kerberoast attack","11_evt_4769_kerberos","Event: Kerberos (DC)"
"DGL-221","HIGH","TGT request without Kerberos pre-authentication (AS-REP roast)","T1558.004","Accounts with pre-auth disabled are exposed to offline password cracking","11_evt_4768_tgt","Event: Kerberos (DC)"
"DGL-222","MEDIUM","TGT with RC4 encryption (encryption downgrade)","T1558","Overpass-the-hash attacks use RC4","11_evt_4768_tgt","Event: Kerberos (DC)"
"DGL-223","HIGH","Kerberos password guessing attack (4771 volume)","T1110.003","High 4771 volume indicates password spraying or brute force","11_evt_4771_preauth","Event: Kerberos (DC)"
"DGL-224","CRITICAL","DCSync attempt (directory replication right used)","T1003.006","A non-DC principal is using replication rights - it can pull every password hash","11_evt_4662_dcsync","Event: Kerberos (DC)"
"DGL-230","HIGH","New executable file in a suspicious directory","T1105","An executable written under Temp/AppData within the analysis window may be a payload","13_recent_files","Dosya Sistemi Taramasi"
"DGL-231","MEDIUM","File downloaded from the internet (MOTW)","T1105","The Zone.Identifier alternate data stream carries the download source","13_recent_files","Dosya Sistemi Taramasi"
"DGL-232","MEDIUM","Possible timestamp manipulation","T1070.006","Creation time is later than the modification time (>5 min) - timestamps may have been backdated","13_recent_files","Dosya Sistemi Taramasi"
"DGL-233","CRITICAL","PE binary hidden behind the wrong extension","T1036.008","A file carrying an MZ header is executable; its extension conceals that","13_recent_files","Dosya Sistemi Taramasi"
"DGL-234","HIGH","File content signature match","T1003","File content matched the signature of a known attack tool or artifact","13_recent_files","Dosya Sistemi Taramasi"
"DGL-235","HIGH","High-entropy file with an innocuous extension in a suspicious directory","T1027","Encrypted or packed content may be hidden behind an innocuous extension","13_recent_files","Dosya Sistemi Taramasi"
"DGL-236","HIGH","Alternate data stream (ADS) detected","T1564.004","Non-default data streams are used to hide code or payloads","13_recent_files","Dosya Sistemi Taramasi"
"DGL-240","(tablo)","Possible WEBSHELL","T1505.003","Command execution pattern matched in the web root","13_webshell_hits","Webshell Avi"
"DGL-241","HIGH","New file written to the web root within the analysis window","T1505.003","Web file changes outside deployment may indicate webshell placement","13_web_files","Webshell Avi"
"DGL-250","(tablo)","Archive created within the analysis window","T1560","Attackers archive files during the collection stage","13_archives","Exfil Izleri"
"DGL-251","CRITICAL","Attack or remote access tool found on disk","T1219","These tools are not legitimately present in user directories","13_attacker_tools","Exfil Izleri"
"DGL-261","HIGH","Encoded command decoded from console history","T1027","PSReadLine history retains uncleaned commands; encoding is used for obfuscation","14_ps_history","Kullanici Aktivitesi"
"DGL-262","MEDIUM","RDP connection history from this host","T1021.001","Spread map: which systems were reached from this machine","14_rdp_history","Kullanici Aktivitesi"
"DGL-263","MEDIUM","No prefetch records","T1070","Prefetch may be disabled - loss of execution evidence","14_prefetch","Kullanici Aktivitesi"
"DGL-264","HIGH","Suspicious program executed within the analysis window (Prefetch)","T1204","Prefetch preserves execution evidence even after the process exits","14_prefetch","Kullanici Aktivitesi"
"DGL-265","MEDIUM","Prefetch: program loaded a file from a suspicious directory","T1204","The prefetch loaded-file list reveals the payload actual location on disk","14_prefetch","Kullanici Aktivitesi"
"DGL-266","INFO","ShimCache unreadable or empty","T1070","ShimCache retains traces of deleted binaries; losing access to it is a visibility gap","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-267","HIGH","ShimCache: binary record in a suspicious directory","T1070.004","ShimCache keeps the record even after the file is deleted - the strongest evidence of a removed payload","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-268","CRITICAL","ShimCache: attack tool record","T1588.002","These tools are absent from legitimate workloads; the record survives deletion from disk","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-269","HIGH","Amcache: program record in a suspicious directory","T1204","Amcache retains the SHA1 hash and first-seen time; traces remain even if Prefetch is cleared","15_amcache","Execution Evidence (ShimCache/Amcache)"
"DGL-270","(tablo)","Unrecognised certificate in the trusted root store","T1553.004","A rogue root CA enables TLS interception and code signing forgery","15_certificates","Sertifika Deposu"
"DGL-271","INFO","Amcache unreadable","T1070","Amcache is the secondary source of execution evidence; it can be captured via VSS with -CollectRaw","15_amcache","Execution Evidence (ShimCache/Amcache)"
"DGL-300","HIGH","New object not present in baseline","T1543","This object did not exist in the previous collection; it may have been added outside the analysis window","DELTA","Baseline Karsilastirma"
"DGL-301","MEDIUM","High rarity score","T1543","Unsigned + unknown publisher + unusual location combination; a candidate for individual review","RARITY","Nadirlik Skorlama"
"DGL-400","INFO","Sigma rule matches present (review separately)","","Community Sigma rules vary in quality; excluded from the risk score and reviewed as leads","SIGMA","Sigma Eslestirme"
"DGL-401","INFO","Sigma evaluation did not complete within the time budget","","Use a smaller focused sigma-pack or raise the budget; the coverage gap must be known","SIGMA","Sigma Eslestirme"
"DGL-410","INFO","YARA scan not performed (component missing)","","The YARA engine and rules can be downloaded from Menu > Update Center","16_yara","YARA Taramasi"
"DGL-411","HIGH","YARA match","T1204","YARA-Forge quality-filtered rule set; matches must be verified (packer rules also match legitimate software)","16_yara","YARA Taramasi"
"DGL-412","INFO","YARA scan did not complete within the time limit","","The coverage gap must be known","16_yara","YARA Taramasi"
"DGL-DYNAMIC","(tablo)","Suspicious command in event record","(tablo)","Attacker behaviour pattern matched in a historical event record","","Suruculer"
"DGL-IOC","CRITICAL","IOC match","T1587","Matched against the supplied IOC list","",""
